Date,Open,High,Low,Close,Volume
2025-02-28 16:00:00,358.68,366.54,358,365.61,1194152
2025-03-03 16:00:00,365.8,367.01,345.52,347.81,1696832
2025-03-04 16:00:00,342.62,349.56,330.3,345.29,2120866
2025-03-05 16:00:00,344.13,350.8,340.84,349.53,1355469
2025-03-06 16:00:00,348.68,363.88,345,347.94,1783239
2025-03-07 16:00:00,347.13,347.74,332.76,344.36,1717700
2025-03-10 16:00:00,337.57,342.61,330.72,333.77,1956892
2025-03-11 16:00:00,333.7,333.94,317.71,319.42,2033138
2025-03-12 16:00:00,322.99,324.8,315.67,316.49,1685867
2025-03-13 16:00:00,316.09,317.25,304.77,309.68,1811975
2025-03-14 16:00:00,313.4,316.98,308.66,311.03,1514069
2025-03-17 16:00:00,314.27,330.42,313.5,327.09,1768250
2025-03-18 16:00:00,325.89,326,319.22,323.07,1122778
2025-03-19 16:00:00,319.45,330.81,318.56,329.57,1098296
2025-03-20 16:00:00,327.05,333.01,323.3,324.45,1106531
2025-03-21 16:00:00,317.64,324.38,311,322.62,1986131
2025-03-24 16:00:00,324.81,336.36,324.81,334.96,1703790
2025-03-25 16:00:00,342.5,346.72,334.74,337.35,2040444
2025-03-26 16:00:00,336.76,340.77,332.42,337.79,2301337
2025-03-27 16:00:00,334.25,348.5,334.07,341.53,4470391
2025-03-28 16:00:00,301.05,304,287.5,293.06,12915240
2025-03-31 16:00:00,286.14,291.76,280.83,283.06,4414707
2025-04-01 16:00:00,282.23,283.64,277.45,279.63,3315119
2025-04-02 16:00:00,277.75,287.95,276.51,282.75,2315224
2025-04-03 16:00:00,243.98,256.88,243.05,255.65,7596772
2025-04-04 16:00:00,242,271.75,234.84,263.7,8370796
2025-04-07 16:00:00,255.72,273.65,246.44,265,4203840
2025-04-08 16:00:00,269.41,270.41,243.74,247.61,3367903
2025-04-09 16:00:00,244.01,287.21,242.45,273.84,6278009
2025-04-10 16:00:00,262.89,262.89,247.92,256.62,3712544
2025-04-11 16:00:00,256.43,263.85,249.07,261.03,1961418
2025-04-14 16:00:00,264.78,265.88,254.58,259.76,1796160
2025-04-15 16:00:00,260.09,263.6,252.98,255.64,1573651
2025-04-16 16:00:00,253.38,256.94,246.89,249.37,1772788
2025-04-17 16:00:00,249.35,252.23,248,251.08,1600822
2025-04-21 16:00:00,249.34,254.03,245.6,253.91,1559541
2025-04-22 16:00:00,257.12,267.1,257.12,261.71,2133712
2025-04-23 16:00:00,271.8,277.3,263.68,265.85,1808474
2025-04-24 16:00:00,267.82,272,261.26,270.64,1283264
2025-04-25 16:00:00,267.95,269.63,265.48,267.9,1422951
2025-04-28 16:00:00,268.34,270.71,265.85,268.52,1412560
2025-04-29 16:00:00,267.96,272,266.06,271.27,1533760
2025-04-30 16:00:00,265.71,271.27,259.33,270.77,2015598
2025-05-01 16:00:00,271.34,274.33,268.36,268.6,1227779
2025-05-02 16:00:00,273.93,279.44,272.81,277.36,1811383
2025-05-05 16:00:00,276.42,281.44,276.15,278.55,1330101
2025-05-06 16:00:00,274.2,275.05,269.57,270.8,1141672
2025-05-07 16:00:00,273.52,277.13,271.92,275.69,1120818
